"geoid","region_type","region_name","measure","value","year","measure_type"
"110010001001","block group","Block Group 1, Census Tract 1, District of Columbia","dent_pop_cnt",1508,2021,"count"
"110010001002","block group","Block Group 2, Census Tract 1, District of Columbia","dent_pop_cnt",1376,2021,"count"
"110010001003","block group","Block Group 3, Census Tract 1, District of Columbia","dent_pop_cnt",1108,2021,"count"
"110010001004","block group","Block Group 4, Census Tract 1, District of Columbia","dent_pop_cnt",896,2021,"count"
"110010002011","block group","Block Group 1, Census Tract 2.01, District of Columbia","dent_pop_cnt",3922,2021,"count"
"110010002021","block group","Block Group 1, Census Tract 2.02, District of Columbia","dent_pop_cnt",1242,2021,"count"
"110010002022","block group","Block Group 2, Census Tract 2.02, District of Columbia","dent_pop_cnt",650,2021,"count"
"110010002023","block group","Block Group 3, Census Tract 2.02, District of Columbia","dent_pop_cnt",894,2021,"count"
"110010002024","block group","Block Group 4, Census Tract 2.02, District of Columbia","dent_pop_cnt",1923,2021,"count"
"110010003001","block group","Block Group 1, Census Tract 3, District of Columbia","dent_pop_cnt",1270,2021,"count"
"110010003002","block group","Block Group 2, Census Tract 3, District of Columbia","dent_pop_cnt",1343,2021,"count"
"110010003003","block group","Block Group 3, Census Tract 3, District of Columbia","dent_pop_cnt",1893,2021,"count"
"110010003004","block group","Block Group 4, Census Tract 3, District of Columbia","dent_pop_cnt",2079,2021,"count"
"110010004001","block group","Block Group 1, Census Tract 4, District of Columbia","dent_pop_cnt",553,2021,"count"
"110010004002","block group","Block Group 2, Census Tract 4, District of Columbia","dent_pop_cnt",860,2021,"count"
"110010005011","block group","Block Group 1, Census Tract 5.01, District of Columbia","dent_pop_cnt",1166,2021,"count"
"110010005012","block group","Block Group 2, Census Tract 5.01, District of Columbia","dent_pop_cnt",2268,2021,"count"
"110010005021","block group","Block Group 1, Census Tract 5.02, District of Columbia","dent_pop_cnt",1825,2021,"count"
"110010005022","block group","Block Group 2, Census Tract 5.02, District of Columbia","dent_pop_cnt",1571,2021,"count"
"110010006001","block group","Block Group 1, Census Tract 6, District of Columbia","dent_pop_cnt",1361,2021,"count"
"110010006002","block group","Block Group 2, Census Tract 6, District of Columbia","dent_pop_cnt",1076,2021,"count"
"110010006003","block group","Block Group 3, Census Tract 6, District of Columbia","dent_pop_cnt",811,2021,"count"
"110010006004","block group","Block Group 4, Census Tract 6, District of Columbia","dent_pop_cnt",1718,2021,"count"
"110010007011","block group","Block Group 1, Census Tract 7.01, District of Columbia","dent_pop_cnt",1336,2021,"count"
"110010007012","block group","Block Group 2, Census Tract 7.01, District of Columbia","dent_pop_cnt",1157,2021,"count"
"110010007013","block group","Block Group 3, Census Tract 7.01, District of Columbia","dent_pop_cnt",1684,2021,"count"
"110010007014","block group","Block Group 4, Census Tract 7.01, District of Columbia","dent_pop_cnt",1609,2021,"count"
"110010007021","block group","Block Group 1, Census Tract 7.02, District of Columbia","dent_pop_cnt",1306,2021,"count"
